School Name,Borough,City,State,Zip Code,Latitude,Longitude,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
"New Explorations into Science, Technology and Math High School",Manhattan,Manhattan,NY,10002,40.71873,-73.97943000000001,1735.0,28.6,13.3,18.0,38.5,657.0,601.0,601.0,91.0
Essex Street Academy,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,358.0,11.7,38.5,41.3,5.9,395.0,411.0,387.0,78.9
Lower Manhattan Arts Academy,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,383.0,3.1,28.2,56.9,8.6,418.0,428.0,415.0,65.1
High School for Dual Language and Asian Studies,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,416.0,1.7,3.1,5.5,88.9,613.0,453.0,463.0,95.9
Henry Street School for International Studies,Manhattan,Manhattan,NY,10002,40.71376,-73.98526,255.0,3.9,24.4,56.6,13.2,410.0,406.0,381.0,59.7
Bard High School Early College,Manhattan,Manhattan,NY,10002,40.718959999999996,-73.97606999999999,545.0,45.3,17.2,18.7,17.1,634.0,641.0,639.0,70.8
Urban Assembly Academy of Government and Law,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,329.0,2.7,41.9,49.2,5.8,389.0,395.0,381.0,80.8
Marta Valle High School,Manhattan,Manhattan,NY,10002,40.72057,-73.98567,363.0,2.5,39.9,51.2,5.8,438.0,413.0,394.0,35.6
University Neighborhood High School,Manhattan,Manhattan,NY,10002,40.71233,-73.9848,304.0,3.3,25.0,41.1,29.9,437.0,355.0,352.0,69.9
New Design High School,Manhattan,Manhattan,NY,10002,40.71687,-73.98953,441.0,3.9,30.8,56.9,5.9,381.0,396.0,372.0,73.7
Pace High School,Manhattan,Manhattan,NY,10002,40.716409999999996,-73.99268000000001,423.0,1.9,28.1,45.4,13.7,430.0,435.0,427.0,87.8
High School for Health Professions and Human Services,Manhattan,Manhattan,NY,10003,40.732490000000006,-73.98305,1664.0,7.3,18.9,50.9,22.4,452.0,445.0,430.0,86.9
High School for Language and Diplomacy,Manhattan,Manhattan,NY,10003,40.73552,-73.9876,437.0,5.7,20.4,40.3,31.1,446.0,433.0,411.0,70.2
International High School at Union Square,Manhattan,Manhattan,NY,10003,40.73552,-73.9876,353.0,9.9,14.2,45.3,30.6,403.0,330.0,316.0,53.2
Institute for Collaborative Education,Manhattan,Manhattan,NY,10003,40.732490000000006,-73.98305,482.0,56.5,14.1,14.9,5.8,501.0,550.0,541.0,78.6
Gramercy Arts High School,Manhattan,Manhattan,NY,10003,40.73552,-73.9876,530.0,5.8,42.5,44.2,3.6,446.0,459.0,455.0,79.6
Urban Assembly New York Harbor School,Manhattan,Manhattan,NY,10004,40.69079,-74.01975999999999,447.0,18.8,23.7,51.7,2.9,446.0,453.0,428.0,78.8
Richard R. Green High School of Teaching,Manhattan,Manhattan,NY,10004,40.70523,-74.01332,566.0,2.7,31.1,58.8,6.2,411.0,415.0,409.0,60.0
Millennium High School,Manhattan,Manhattan,NY,10004,40.70492,-74.01151,659.0,32.8,7.6,18.2,38.4,577.0,560.0,567.0,94.0
Urban Assembly School of Business for Young Women,Manhattan,Manhattan,NY,10004,40.70523,-74.01332,405.0,2.2,52.8,39.3,3.5,418.0,420.0,417.0,75.0
High School of Economics and Finance,Manhattan,Manhattan,NY,10006,40.70922,-74.01203000000001,796.0,7.2,22.9,47.1,21.7,469.0,442.0,447.0,66.8
Leadership and Public Service High School,Manhattan,Manhattan,NY,10006,40.70915,-74.01208000000001,699.0,4.4,27.9,61.9,3.9,390.0,396.0,392.0,54.9
East Side Community School,Manhattan,Manhattan,NY,10009,40.72978,-73.98304,666.0,8.3,22.1,57.9,9.4,454.0,428.0,445.0,85.2
Baruch College Campus High School,Manhattan,Manhattan,NY,10010,40.74405,-73.99148000000001,451.0,22.8,6.2,14.9,54.8,592.0,526.0,531.0,94.3
School of the Future High School,Manhattan,Manhattan,NY,10010,40.73895,-73.98541,713.0,35.9,11.7,30.4,14.4,534.0,533.0,522.0,89.9
Manhattan Village Academy,Manhattan,Manhattan,NY,10010,40.74149,-73.99145,415.0,7.2,9.6,67.2,7.2,522.0,479.0,510.0,98.8
NYC Lab School for Collaborative Studies,Manhattan,Manhattan,NY,10011,40.7421,-74.00206999999999,587.0,46.0,6.0,15.5,27.6,595.0,550.0,555.0,79.8
Hudson High School of Learning Technologies,Manhattan,Manhattan,NY,10011,40.74289,-74.00213000000001,483.0,3.3,29.2,59.4,6.4,378.0,407.0,388.0,71.8
Manhattan Business Academy,Manhattan,Manhattan,NY,10011,40.74289,-74.00213000000001,438.0,3.9,28.1,62.1,3.4,410.0,407.0,399.0,69.7
Landmark High School,Manhattan,Manhattan,NY,10011,40.74289,-74.00213000000001,355.0,1.7,24.2,68.5,3.7,386.0,386.0,386.0,30.6
High School of Fashion Industries,Manhattan,Manhattan,NY,10011,40.74511,-73.99591,1770.0,3.8,36.3,53.8,5.0,433.0,442.0,427.0,80.6
NYC Museum School,Manhattan,Manhattan,NY,10011,40.7421,-74.00206999999999,471.0,12.1,12.7,39.7,34.2,560.0,530.0,522.0,90.0
Chelsea Career and Technical Education High School,Manhattan,Manhattan,NY,10013,40.72435,-74.00476,439.0,3.2,28.9,57.4,8.2,439.0,418.0,400.0,80.4
NYC iSchool,Manhattan,Manhattan,NY,10013,40.72435,-74.00476,442.0,28.7,19.9,39.8,8.6,518.0,515.0,503.0,96.0
Manhattan Academy for Arts and Language,Manhattan,Manhattan,NY,10016,40.746109999999994,-73.98101,334.0,1.5,4.8,91.3,2.4,350.0,334.0,321.0,46.1
Unity Center for Urban Technologies,Manhattan,Manhattan,NY,10016,40.746109999999994,-73.98101,284.0,4.9,27.5,58.8,6.0,375.0,385.0,387.0,62.8
Business of Sports School,Manhattan,Manhattan,NY,10019,40.76336,-73.99051,449.0,1.6,35.4,59.5,2.2,395.0,386.0,371.0,67.5
Facing History School,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,406.0,2.2,27.3,67.5,1.7,366.0,356.0,371.0,57.3
High School of Hospitality Management,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,424.0,1.7,21.0,71.2,5.0,451.0,433.0,424.0,56.2
Urban Assembly School of Design and Construction,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,414.0,3.4,29.5,59.2,6.0,445.0,417.0,403.0,60.6
High School for Environmental Studies,Manhattan,Manhattan,NY,10019,40.767759999999996,-73.98751,1301.0,6.6,14.7,62.9,15.1,469.0,454.0,444.0,74.0
Art and Design High School,Manhattan,Manhattan,NY,10019,40.7654,-73.98177,1476.0,10.8,24.1,54.7,8.5,455.0,475.0,458.0,70.1
Manhattan Bridges High School,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,529.0,0.0,0.0,100.0,0.0,409.0,360.0,347.0,84.4
Urban Assembly Gateway School for Technology,Manhattan,Manhattan,NY,10019,40.76336,-73.99051,472.0,5.7,30.3,53.8,7.8,445.0,432.0,415.0,78.4
Food and Finance High School,Manhattan,Manhattan,NY,10019,40.765029999999996,-73.99252,427.0,3.0,39.6,52.2,4.7,428.0,435.0,421.0,52.0
Eleanor Roosevelt High School,Manhattan,Manhattan,NY,10021,40.77012,-73.95338000000001,541.0,61.4,4.4,10.9,20.1,641.0,617.0,631.0,86.0
"High School for Arts, Imagination, and Inquiry",Manhattan,Manhattan,NY,10023,40.7743,-73.98482,447.0,0.9,38.5,58.8,0.4,375.0,389.0,380.0,58.8
Urban Assembly School for Media Studies,Manhattan,Manhattan,NY,10023,40.7743,-73.98482,412.0,1.7,36.4,57.8,1.9,392.0,419.0,396.0,49.5
Beacon High School,Manhattan,Manhattan,NY,10023,40.77216,-73.9878,1285.0,51.8,13.7,23.8,8.9,583.0,586.0,595.0,82.8
Fiorello H. LaGuardia High School of Music and Art and Performing Arts,Manhattan,Manhattan,NY,10023,40.77367,-73.98527,2635.0,45.3,11.3,19.4,19.4,592.0,592.0,597.0,88.5
High School of Arts and Technology,Manhattan,Manhattan,NY,10023,40.7743,-73.98482,594.0,2.9,32.5,59.3,3.9,421.0,428.0,406.0,44.4
Manhattan / Hunter Science High School,Manhattan,Manhattan,NY,10023,40.7743,-73.98482,451.0,13.1,16.4,37.9,25.9,581.0,531.0,535.0,97.2
"High School for Law, Advocacy, and Community Justice",Manhattan,Manhattan,NY,10023,40.7743,-73.98482,510.0,2.2,42.0,52.7,2.4,415.0,417.0,402.0,60.5
Urban Assembly School for Green Careers,Manhattan,Manhattan,NY,10024,40.785740000000004,-73.97442,353.0,2.8,23.2,72.0,1.1,393.0,371.0,378.0,60.0
Frank McCourt High School,Manhattan,Manhattan,NY,10024,40.785740000000004,-73.97442,387.0,31.8,15.8,40.1,8.8,489.0,491.0,500.0,89.1
Global Learning Collaborative,Manhattan,Manhattan,NY,10024,40.785740000000004,-73.97442,496.0,5.4,25.0,66.3,2.4,406.0,407.0,413.0,59.4
Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,Manhattan,NY,10026,40.802170000000004,-73.95401,445.0,1.0,52.0,44.2,1.8,381.0,401.0,392.0,52.6
Frederick Douglass Academy II Secondary School,Manhattan,Manhattan,NY,10026,40.802170000000004,-73.95401,411.0,1.9,67.8,26.3,2.2,390.0,384.0,373.0,63.8
Columbia Secondary School,Manhattan,Manhattan,NY,10027,40.81092,-73.95693,659.0,14.8,22.0,48.1,13.7,583.0,561.0,546.0,88.2
Academy for Social Action (College Board),Manhattan,Manhattan,NY,10027,40.81523,-73.9552,234.0,2.8,46.5,49.3,0.5,357.0,349.0,365.0,54.0
Urban Assembly School for the Performing Arts,Manhattan,Manhattan,NY,10027,40.81523,-73.9552,358.0,1.4,52.2,43.0,0.8,379.0,399.0,388.0,76.7
Heritage School,Manhattan,Manhattan,NY,10029,40.79188,-73.94659,322.0,1.9,32.3,63.7,1.2,385.0,380.0,370.0,56.8
Central Park East High School,Manhattan,Manhattan,NY,10029,40.79368,-73.94941999999999,466.0,3.9,24.5,63.3,7.3,483.0,468.0,439.0,97.9
Park East High School,Manhattan,Manhattan,NY,10029,40.79056,-73.94445,413.0,1.7,27.6,63.7,4.8,429.0,433.0,435.0,89.6
Young Women's Leadership School,Manhattan,Manhattan,NY,10029,40.79271,-73.9473,480.0,3.4,27.9,57.4,8.9,478.0,465.0,472.0,100.0
Manhattan Center for Science and Mathematics,Manhattan,Manhattan,NY,10029,40.79374,-73.93408000000001,1603.0,4.2,20.9,54.1,19.2,556.0,505.0,495.0,87.6
Mott Hall High School,Manhattan,Manhattan,NY,10030,40.81736,-73.94771,428.0,0.7,38.3,59.1,0.9,416.0,445.0,440.0,36.9
Thurgood Marshall Academy for Learning and Social Change,Manhattan,Manhattan,NY,10030,40.81536,-73.9439,561.0,0.8,77.6,19.6,1.3,402.0,394.0,400.0,84.7
"High School for Mathematics, Science, and Engineering at City College",Manhattan,Manhattan,NY,10031,40.82112,-73.94885,470.0,26.8,9.6,21.7,38.5,683.0,610.0,596.0,92.6
A. Philip Randolph Campus High School,Manhattan,Manhattan,NY,10031,40.81832,-73.95061,1354.0,1.7,32.0,59.7,4.9,459.0,453.0,447.0,74.0
Gregorio Luperon High School for Science and Mathematics,Manhattan,Manhattan,NY,10032,40.838029999999996,-73.93836999999999,504.0,0.0,0.0,100.0,0.0,383.0,355.0,352.0,71.0
Community Health Academy of the Heights,Manhattan,Manhattan,NY,10032,40.83356,-73.9418,629.0,2.7,4.9,91.8,0.0,387.0,389.0,385.0,55.3
Washington Heights Expeditionary Learning School,Manhattan,Manhattan,NY,10033,40.84888,-73.93081,705.0,0.5,3.8,94.8,0.3,443.0,423.0,434.0,87.0
Coalition School for Social Change,Manhattan,Manhattan,NY,10035,40.79887,-73.93337,283.0,3.5,41.0,50.2,4.2,344.0,368.0,367.0,40.5
Repertory Company High School for Theatre Arts,Manhattan,Manhattan,NY,10036,40.75594,-73.98456999999999,246.0,8.5,37.4,50.4,1.6,425.0,451.0,458.0,89.5
Professional Performing Arts High School,Manhattan,Manhattan,NY,10036,40.76143,-73.98801999999999,536.0,42.9,26.2,22.3,2.5,496.0,520.0,516.0,72.2
Jacqueline Kennedy Onassis High School,Manhattan,Manhattan,NY,10036,40.75776,-73.98319000000001,676.0,3.6,21.3,70.1,4.0,418.0,422.0,415.0,53.8
Murry Bergtraum High School for Business Careers,Manhattan,Manhattan,NY,10038,40.710679999999996,-74.00081,971.0,3.0,46.1,40.7,8.9,418.0,415.0,398.0,44.3
Frederick Douglass Academy,Manhattan,Manhattan,NY,10039,40.82431,-73.93698,1428.0,1.4,70.4,23.2,1.7,463.0,452.0,450.0,65.1
High School for Media and Communications,Manhattan,Manhattan,NY,10040,40.855940000000004,-73.92703,479.0,1.3,13.8,82.5,1.9,378.0,381.0,383.0,33.0
College Academy,Manhattan,Manhattan,NY,10040,40.855940000000004,-73.92703,491.0,0.6,9.0,89.2,0.2,367.0,377.0,363.0,41.9
High School for Law and Public Service,Manhattan,Manhattan,NY,10040,40.855940000000004,-73.92703,671.0,1.6,16.8,80.8,0.4,401.0,394.0,381.0,44.1
City College Academy of the Arts,Manhattan,Manhattan,NY,10040,40.86111,-73.93045,587.0,1.2,3.8,94.1,0.9,495.0,445.0,450.0,95.3
High School for Health Careers and Sciences,Manhattan,Manhattan,NY,10040,40.855940000000004,-73.92703,605.0,1.5,15.9,79.8,1.3,374.0,385.0,389.0,56.2
Manhattan International High School,Manhattan,Manhattan,NY,10065,40.76545,-73.96021,343.0,12.2,16.6,41.1,29.4,438.0,358.0,382.0,58.6
Talent Unlimited High School,Manhattan,Manhattan,NY,10065,40.76545,-73.96021,506.0,20.4,33.4,39.9,4.9,485.0,498.0,496.0,89.3
Vanguard High School,Manhattan,Manhattan,NY,10065,40.76545,-73.96021,486.0,4.7,27.4,57.0,7.6,431.0,409.0,396.0,63.8
Life Sciences Secondary School,Manhattan,Manhattan,NY,10128,40.783640000000005,-73.94574,697.0,3.2,28.3,62.2,4.3,435.0,440.0,425.0,63.0
Stuyvesant High School,Manhattan,Manhattan,NY,10282,40.71775,-74.01405,3296.0,20.4,0.8,2.6,73.4,754.0,697.0,693.0,97.4
Ralph R. McKee Career and Technical Education High School,Staten Island,Staten Island,NY,10301,40.64274,-74.07871,624.0,19.7,30.8,42.5,4.8,420.0,429.0,409.0,38.0
Michael J. Petrides School,Staten Island,Staten Island,NY,10301,40.60745,-74.10148000000001,1327.0,49.8,22.3,20.2,6.9,483.0,473.0,470.0,79.2
Curtis High School,Staten Island,Staten Island,NY,10301,40.644740000000006,-74.08134,2499.0,17.7,38.4,36.0,7.1,453.0,458.0,444.0,64.2
Port Richmond High School,Staten Island,Staten Island,NY,10302,40.63384,-74.14211,1628.0,21.7,27.9,42.8,7.0,432.0,427.0,425.0,44.6
Staten Island Technical High School,Staten Island,Staten Island,NY,10306,40.56791,-74.11536,1247.0,52.2,1.0,5.2,41.1,711.0,660.0,670.0,99.7
New Dorp High School,Staten Island,Staten Island,NY,10306,40.569179999999996,-74.1073,2791.0,51.8,12.1,27.8,7.5,454.0,446.0,444.0,63.7
Tottenville High School,Staten Island,Staten Island,NY,10312,40.52823,-74.19215,3982.0,79.9,1.8,11.8,5.1,494.0,476.0,476.0,78.9
Susan E. Wagner High School,Staten Island,Staten Island,NY,10314,40.59865,-74.1231,3363.0,47.7,10.9,27.0,13.4,496.0,490.0,487.0,66.3
Gaynor McCown Expeditionary Learning School,Staten Island,Staten Island,NY,10314,40.58202,-74.15785,479.0,61.6,13.8,19.0,3.3,442.0,458.0,454.0,55.8
CSI High School for International Studies,Staten Island,Staten Island,NY,10314,40.58202,-74.15785,520.0,55.6,8.8,19.8,11.2,477.0,468.0,464.0,83.5
New Explorers High School,Bronx,Bronx,NY,10451,40.82278,-73.92352,475.0,0.4,31.4,67.6,0.4,390.0,398.0,376.0,30.4
"Bronx School for Law, Government, and Justice",Bronx,Bronx,NY,10451,40.82759,-73.91866999999999,778.0,1.0,23.1,72.0,2.2,403.0,409.0,415.0,63.8
Urban Assembly School for Careers in Sports,Bronx,Bronx,NY,10451,40.82278,-73.92352,587.0,1.4,28.6,69.5,0.2,402.0,405.0,395.0,55.5
Bronx Leadership Academy II High School,Bronx,Bronx,NY,10451,40.82278,-73.92352,495.0,0.8,32.3,63.4,2.2,384.0,355.0,361.0,61.3
Urban Assembly Bronx Academy of Letters,Bronx,Bronx,NY,10451,40.813359999999996,-73.92554,591.0,1.5,30.4,66.9,0.9,398.0,400.0,405.0,57.8
Health Opportunities High School,Bronx,Bronx,NY,10451,40.81608,-73.93032,554.0,1.8,36.1,57.9,3.1,374.0,386.0,382.0,57.9
Community School for Social Justice,Bronx,Bronx,NY,10451,40.81608,-73.93032,324.0,1.2,29.6,67.3,1.5,380.0,382.0,362.0,38.4
Alfred E. Smith Career and Technical Education High School,Bronx,Bronx,NY,10451,40.81825,-73.91974,375.0,0.8,29.1,68.3,1.1,390.0,373.0,371.0,29.8
Academy for Language and Technology,Bronx,Bronx,NY,10453,40.8491,-73.91609,322.0,0.0,0.3,99.7,0.0,371.0,334.0,348.0,78.9
South Bronx Preparatory (College Board),Bronx,Bronx,NY,10454,40.814009999999996,-73.92084,654.0,1.4,25.2,70.3,1.7,419.0,414.0,394.0,76.9
International Community High School,Bronx,Bronx,NY,10454,40.81004,-73.91781,463.0,1.3,14.0,76.7,6.5,345.0,338.0,312.0,58.2
Hostos-Lincoln Academy of Science,Bronx,Bronx,NY,10455,40.81496,-73.91252,544.0,1.5,22.5,69.9,3.8,463.0,451.0,435.0,80.0
University Heights Secondary School,Bronx,Bronx,NY,10455,40.81817,-73.91109,486.0,1.6,30.0,64.6,3.1,420.0,446.0,424.0,87.8
Mott Haven Village Preparatory High School,Bronx,Bronx,NY,10455,40.81817,-73.91109,364.0,0.5,25.3,73.6,0.3,377.0,373.0,369.0,44.9
High School for Violin and Dance,Bronx,Bronx,NY,10456,40.8276,-73.90448,384.0,0.3,34.1,64.6,0.5,363.0,401.0,396.0,31.3
Bronx International High School,Bronx,Bronx,NY,10456,40.8276,-73.90448,409.0,1.7,20.0,74.1,3.4,355.0,330.0,320.0,59.1
Bronx Career and College Preparatory High School,Bronx,Bronx,NY,10456,40.82776,-73.90039,333.0,0.6,40.5,56.8,0.9,370.0,379.0,381.0,40.7
Bronx Center for Science and Mathematics,Bronx,Bronx,NY,10456,40.83374,-73.90245,457.0,1.5,25.4,65.9,6.3,513.0,468.0,485.0,73.9
Bronx Early College Academy for Teaching and Learning,Bronx,Bronx,NY,10456,40.82871,-73.91776,503.0,0.4,28.7,67.4,3.6,424.0,413.0,409.0,93.3
Eximius College Preparatory Academy (College Board),Bronx,Bronx,NY,10456,40.83374,-73.90245,449.0,0.7,45.2,52.1,1.1,400.0,391.0,397.0,78.2
Bronx Latin,Bronx,Bronx,NY,10456,40.82776,-73.90039,546.0,0.0,21.2,77.1,1.7,394.0,381.0,363.0,81.0
School for Excellence,Bronx,Bronx,NY,10456,40.8276,-73.90448,421.0,1.0,26.6,70.8,0.7,377.0,385.0,383.0,38.4
Morris Academy for Collaborative Studies,Bronx,Bronx,NY,10456,40.8276,-73.90448,471.0,0.4,26.3,72.0,0.8,407.0,389.0,386.0,44.8
Frederick Douglass Academy III Secondary School,Bronx,Bronx,NY,10456,40.83417,-73.90403,427.0,2.3,50.4,45.4,0.7,387.0,386.0,386.0,50.5
Urban Assembly School for Applied Math and Science,Bronx,Bronx,NY,10457,40.83933,-73.90131,619.0,1.1,33.0,64.1,1.4,445.0,418.0,422.0,87.8
Bronx Collegiate Academy,Bronx,Bronx,NY,10457,40.84037,-73.91084000000001,382.0,0.3,28.5,69.1,1.0,395.0,401.0,382.0,45.5
Mott Hall Bronx High School,Bronx,Bronx,NY,10457,40.83933,-73.90131,402.0,1.2,20.1,75.6,1.2,417.0,399.0,398.0,46.2
Bronx Leadership Academy High School,Bronx,Bronx,NY,10457,40.843579999999996,-73.90321999999999,686.0,0.6,35.7,61.7,0.4,375.0,372.0,374.0,49.1
Validus Preparatory Academy: An Expeditionary Learning School,Bronx,Bronx,NY,10457,40.83933,-73.90131,375.0,0.8,26.9,70.7,1.6,382.0,375.0,384.0,59.2
Bronx High School for Medical Science,Bronx,Bronx,NY,10457,40.84037,-73.91084000000001,472.0,0.7,36.7,53.4,7.1,431.0,421.0,426.0,83.9
Eagle Academy for Young Men,Bronx,Bronx,NY,10457,40.84519,-73.89698,608.0,0.5,60.7,36.0,0.3,398.0,410.0,397.0,65.7
Bronx High School of Business,Bronx,Bronx,NY,10457,40.84037,-73.91084000000001,339.0,1.2,33.3,63.1,1.5,365.0,360.0,346.0,33.3
DreamYard Preparatory School,Bronx,Bronx,NY,10457,40.84037,-73.91084000000001,336.0,1.2,33.6,60.7,1.5,385.0,385.0,388.0,51.1
Theatre Arts Production Company School,Bronx,Bronx,NY,10457,40.85465,-73.89665,632.0,0.7,29.2,66.6,1.2,402.0,421.0,410.0,77.7
West Bronx Academy for the Future,Bronx,Bronx,NY,10458,40.860009999999996,-73.88823000000001,599.0,3.0,21.1,72.0,2.7,404.0,383.0,378.0,57.3
Bronx High School for Law and Community Service,Bronx,Bronx,NY,10458,40.860009999999996,-73.88823000000001,398.0,1.8,24.4,70.9,1.3,401.0,402.0,386.0,64.8
Belmont Preparatory High School,Bronx,Bronx,NY,10458,40.860009999999996,-73.88823000000001,416.0,1.9,30.0,65.6,2.2,413.0,408.0,402.0,55.3
Fordham High School for the Arts,Bronx,Bronx,NY,10458,40.860009999999996,-73.88823000000001,401.0,2.5,30.9,65.1,1.0,398.0,404.0,412.0,56.2
Knowledge and Power Preparatory Academy International High School (KAPPA),Bronx,Bronx,NY,10458,40.860009999999996,-73.88823000000001,487.0,2.1,32.2,61.4,2.5,408.0,417.0,404.0,66.7
Fordham Leadership Academy for Business and Technology,Bronx,Bronx,NY,10458,40.860009999999996,-73.88823000000001,438.0,2.7,27.6,67.8,1.8,355.0,373.0,368.0,44.3
Metropolitan High School,Bronx,Bronx,NY,10459,40.82523,-73.89395,326.0,0.3,21.5,74.8,0.9,387.0,388.0,386.0,65.9
Holcombe L. Rucker School of Community Research,Bronx,Bronx,NY,10459,40.817440000000005,-73.89805,236.0,0.4,43.2,54.7,0.4,376.0,372.0,369.0,59.0
Banana Kelly High School,Bronx,Bronx,NY,10459,40.817440000000005,-73.89805,325.0,1.2,37.2,60.6,0.0,378.0,391.0,378.0,25.7
Bronx Studio School for Writers and Artists,Bronx,Bronx,NY,10459,40.82062,-73.89307,565.0,0.6,20.3,76.9,1.2,417.0,412.0,403.0,71.6
Peace and Diversity Academy,Bronx,Bronx,NY,10459,40.82523,-73.89395,170.0,1.8,44.1,52.4,0.6,366.0,362.0,365.0,27.1
East Bronx Academy for the Future,Bronx,Bronx,NY,10460,40.83695,-73.88795999999999,618.0,0.5,25.4,71.0,3.0,418.0,406.0,408.0,41.1
Bronx Envision Academy,Bronx,Bronx,NY,10460,40.83594,-73.89047,355.0,2.0,34.4,60.3,2.0,364.0,385.0,366.0,76.5
Fannie Lou Hamer Freedom High School,Bronx,Bronx,NY,10460,40.83081,-73.88602,470.0,0.2,28.5,70.4,0.4,345.0,347.0,339.0,75.0
Explorations Academy,Bronx,Bronx,NY,10460,40.83594,-73.89047,358.0,2.0,27.1,69.8,0.8,377.0,372.0,365.0,43.0
